#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
58,ON,,PCT-DSA-08,BRIDA ADAPTADORA,7  1/16,B,R-46,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,6  1/4 ,-29 - 121 C,,,PCT, / PCT-DSA-08 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
59,ON,,PCT-DSA-09,BRIDA ADAPTADORA,7  1/16,B,R-46,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,6  1/4 ,-29 - 121 C,,,PCT, / PCT-DSA-09 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
60,PERDIDA,,PCT-DSA-10,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,7  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-10 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
61,ON,,PCT-DSA-11,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,6  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-11 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
62,ON,,PCT-DSA-12,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,6  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-12 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
63,ON,,PCT-DSA-13,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,6  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-13 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
64,ON,,PCT-DSA-14,BRIDA ADAPTADORA,11      ,B,BX-158,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,7  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-14 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
65,ON,,PCT-DSA-15,BRIDA ADAPTADORA,9      ,B,BX-157,10000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,10000,H2S,6  1/4 ,-29 - 121 C,,,PCT, / PCT-DSA-15 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
66,ON,,PCT-DSA-16,BRIDA ADAPTADORA,7  1/16,B,R-46,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,6  1/4 ,-29 - 121 C,,,PCT, / PCT-DSA-16 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
67,ON,,PCT-DSA-17,BRIDA ADAPTADORA,11      ,B,BX-158,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,6  7/8 ,-29 - 121 C,,,PCT, / PCT-DSA-17 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
