,,,,,,,,,,FECHA MODIFICACIÓN:,16-feb-23
NC,ESTADO,EQUIPO/ACTIVO,DESCRIPCIÓN,TIPO DE PRUEBA,ÁREA A INSPECIONAR,FECHA REALIZACIÓN,NO. DE REPORTE / CERTIFICADO,EMISOR,REALIZÓ,PROXIMA PRUEBA,DIAS DE VIGENCIA
87,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
88,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
89,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-055-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
90,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-020-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
91,ACTIVO,PCT-CE-12,CARRETE ESPACIADOR 16 3/4” 5K X 16 3/4” 5K X 200 CM ALTURA,P.T.,GENERAL,,FALTA,,,,
92,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-056-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
93,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-038-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",M.T. / L.P.,EXTERIOR,08-feb-23,TR-REF-PCT-045-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
94,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
95,ACTIVO,PCT-CE-13,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 150 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
96,ACTIVO,PCT-CE-14,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 145 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-057-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
97,ACTIVO,PCT-CE-14,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 145 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-039-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-14,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 145 CM ALTURA",M.T. / L.P.,EXTERIOR,08-feb-23,TR-REF-PCT-046-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
98,ACTIVO,PCT-CE-14,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 145 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
99,ACTIVO,PCT-CE-14,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 145 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
100,ACTIVO,PCT-CE-15,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 100 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-052-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
101,ACTIVO,PCT-CE-15,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 100 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-040-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-15,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 100 CM ALTURA",M.T. / L.P.,EXTERIOR,,FALTA,TRUESPECT,,,
103,ACTIVO,PCT-CE-15,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 100 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
102,ACTIVO,PCT-CE-15,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 100 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
104,ACTIVO,PCT-CE-16,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 70 CM ALTURA",M.T. / L.P.,CARA,16-feb-23,TR-REF-PCT-075-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,16-feb-24,-632
105,ACTIVO,PCT-CE-16,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 70 CM ALTURA",U.T.T.,CUERPO,16-feb-23,TR-REF-PCT-080-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,16-feb-24,-632
106,ACTIVO,PCT-CE-16,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 70 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
107,ACTIVO,PCT-CE-17,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 200 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-058-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
108,ACTIVO,PCT-CE-17,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 200 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-041-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
109,ACTIVO,PCT-CE-17,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 200 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
110,ACTIVO,PCT-CE-18,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-051-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
